"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenMaterial","vGenItemType","vMetalColor","vSizeType","vMetalType","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2","imagefilename"
"113RW","400","Her hands are half of her expression, so she must always wear the most fab rings! This display holds 12 rings total and she can simply slide them off the display and try them on to see which style she wants to go with. They are all so gorg, we know she will want to purchase them all!","White Leatherette Ring Display","Display","White","Leatherette","Displays","","","","Display,","N","Y",811,,"White leatherette material","Display holds 12 rings | Style # 113RW","8""x 3.75""x 2.5""| Designed in the USA",15,0,"https://www.cosmostylejewelry.com/CosmoImg/113RW.JPG, https://www.cosmostylejewelry.com/CosmoImg/113RW-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/113RW-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/113RW-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/113RW-5.JPG"
"C19394","400","She appreciates the stylish simplicity of adding a couple of her favorite bangles or cuffs to her #ootd. She loves to mix ‘n match them and stack them as the mood strikes, so this plush velveteen pillow is just the accessory you need to showcase how she can create the perfect bracelet stack for everything from a glam night out to weekend brunch with her girls. Perfect for The Grunge Glam Bracelet Stack or to displays about six of her other favorite CosmoStyle cuffs or bangles, glam bracelets will totally be her new go-to piece!","White Display Pillow","Display","White","PU","Displays","","","","Display,","N","Y",811,,"White faux leather","Long pillow for bracelet display | Style # C19394","7.75""x2.65""x2""| Designed in the USA",3,0,"https://www.cosmostylejewelry.com/CosmoImg/C19394.JPG, https://www.cosmostylejewelry.com/CosmoImg/C19394-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C19394-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C19394-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C19394-5.JPG"
"CD00PW","400","Stepping it up with our displays… pun intended! Choose the small or large display to show off your carded jewelry pieces. She and her bestie can shop together and if they fall in love with the same piece -- not to worry! Each step offers two slits to store an additional piece rather than adding it to your back stock inventory.","The Large Slotted Step Display","Display","White","Acrylic","Displays","",,"","","N","N",800,,"White acrylic material","2 slots per step, 4 steps | Style # CD00PW","13.5x8x6""| Designed in the USA",35,0,"https://www.cosmostylejewelry.com/CosmoImg/CD00PW.JPG, https://www.cosmostylejewelry.com/CosmoImg/CD00PW-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/CD00PW-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/CD00PW-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/CD00PW-5.JPG"
"CD113EW","400","Stepping it up with our displays… pun intended! Choose the small or large display to show off your carded jewelry pieces. She and her bestie can shop together and if they fall in love with the same piece -- not to worry! Each step offers two slits to store an additional piece rather than adding it to your back stock inventory.","The Small Slotted Step Display","Display","White","Acrylic","Displays","",,"","","N","N",800,,"White acrylic material","2 slots per step, 3 steps | Style # CD113EW","13.5x6x3""| Designed in the USA",30,0,"https://www.cosmostylejewelry.com/CosmoImg/CD113EW.JPG, https://www.cosmostylejewelry.com/CosmoImg/CD113EW-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/CD113EW-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/CD113EW-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/CD113EW-5.JPG"
"NF150L","400","","The CosmoStyle Neckform - Large","Display","White","Acrylic","Displays","",,"","","N","N",810,,"White acrylic material","Style # NF150L","8.7x7.5x18.9""| Designed in the USA",30,0,"https://www.cosmostylejewelry.com/CosmoImg/NF150L.JPG, https://www.cosmostylejewelry.com/CosmoImg/NF150L-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/NF150L-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/NF150L-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/NF150L-5.JPG"
"NF150S","400","","The CosmoStyle Neckform - Small","Display","White","Acrylic","Displays","",,"","","N","N",810,,"White acrylic material","Style # NF150S","3.7x6.9x11.8""| Designed in the USA",20,0,"https://www.cosmostylejewelry.com/CosmoImg/NF150S.JPG, https://www.cosmostylejewelry.com/CosmoImg/NF150S-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/NF150S-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/NF150S-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/NF150S-5.JPG"
"T113NW","400","Calling all accessory lovers! It's time to get excited. Whether she is shopping The Midnight Statement or The Posh Pearl, this display can be customized to the product you are offering her. Earrings, necklaces and bracelets that are on cards rest in the slotted steps of this display and loose necklaces and bracelets slide on the adjustable T-bar. To adjust the pole height, simply loosen the knob and change the height. She can't wait to see the killer collection you are offering her!","The Slotted Adjustable T-Bar Display","Display","White","Metal/Leatherette/Acrylic","Displays","",,"","","N","N",805,,"White acrylic base with adjustable metal poles and leatherette t-bar","Adjustable t-bar | 3 steps, 2 slots on each step for carded items | Style # T113NW","Base: 13.5x7.3""| Bar adjusts from 10.5""to 18""| Designed in the USA",35,0,"https://www.cosmostylejewelry.com/CosmoImg/T113NW.JPG, https://www.cosmostylejewelry.com/CosmoImg/T113NW-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/T113NW-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/T113NW-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/T113NW-5.JPG"
"TB113W","400","Customize and obsessorize! She loves necklaces of all lengths and is a bracelet fanatic, so of course we’re offering you a display that is versatile; this is something to get excited about! Whether you have The Chloe program or The Fashion First, this display can be altered to your product type. Simply loosen the knob on the pole(s) and adjust the height! Utilize the slit to show off your earrings or signage.","The Slotted Adjustable Double T-Bar Display","Display","White","Metal/Leatherette","Displays","",,"","","N","N",805,,"White acrylic base with adjustable metal poles and leatherette t-bars","Adjustable t-bars | 2 slots in front for carded items | Style # TB113W","Base: 7.5x6""| Front bar adjusts from 6.5""to 10""| Back bar adjusts from 10.5""to 18""| Designed in the USA",30,0,"https://www.cosmostylejewelry.com/CosmoImg/TB113W.JPG, https://www.cosmostylejewelry.com/CosmoImg/TB113W-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/TB113W-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/TB113W-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/TB113W-5.JPG"
"C190810101","400","Be starry-eyed and gleefully glam in this dainty take on grunge style! This hand bracelet is delicate in stature and lightweight in size but is not short on style factor! A great everyday piece for wearing from class or work to weekend fun, and everything in between.","Seeing Stars Dainty Hand Bracelet","Grunge Glam","Gold","Metal","Bracelets","Gold","","Brass","Bracelet,","N","Y",318,,"Oxidized gold tone plating over brass","Lobster claw closure | Style # C19081","7""length | 1.5""extender chain | Designed in the USA",12,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C190810101.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190810101-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190810101-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190810101-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190810101-5.JPG"
"C190930202","400","Be gleefully glam in this dainty take on grunge style! This hand bracelet is delicate in stature and lightweight in size, but is not short on style factor! A great everyday piece for wearing from class or work to weekend fun, and everything in between.","What a Stud Dainty Hand Bracelet","Grunge Glam","Silver","Metal","Bracelets","Silver","","Brass","Bracelets","N","Y",320,,"Oxidized silver tone plating over brass","Lobster claw closure | Style # C19093","7""length | 1.5""extender chain | Designed in the USA",12,24.99,"https://www.cosmostylejewelry.com/CosmoImg/C190930202.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190930202-2.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190930202-3.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190930202-4.JPG, https://www.cosmostylejewelry.com/CosmoImg/C190930202-5.JPG"
